075,First and Third,M1,8+,Men,Student,Mays 1st,Mays 1st 8+,00:06:23,00:06:29,00:12:52,00:12:52
002,Clare Boat Club,M1,8+,Men,Student,Mays 1st,Mays 1st 8+,00:06:30,00:06:31,00:13:01,00:13:01
076,Emmanuel,M1,8+,Men,Student,Mays 1st,Mays 1st 8+,00:06:36,00:06:38,00:13:14,00:13:14
004,Selwyn College Boat Club,Selwyn M1,8+,Men,Student,Mays 2nd,Mays 2nd 8+,00:06:40,00:06:41,00:13:21,00:13:21
003,Christ's College,Christ's M1,8+,Men,Student,Mays 1st,Mays 1st 8+,00:06:49,00:06:44,00:13:33,00:13:33
005,First and Third,M2,8+,Men,Student,Mays 2nd,Mays 2nd 8+,00:06:55,00:06:52,00:13:47,00:13:47
038,FCBC,Fitz M1,8+,Men,Student,Mays 1st,Mays 1st 8+,00:06:52,00:06:55,00:13:47,00:13:47
053,Lady Margaret Boat Club,M2,8+,Men,Student,Mays 2nd,Mays 2nd 8+,00:06:54,00:06:56,00:13:50,00:13:50
008,Wolfson College Cambridge,M1,8+,Men,Student,Mays 3rd & Lower,Mays 2nd 8+,00:06:55,00:06:58,00:13:53,00:13:53
040,Bedford School,Nov 8+ ,8+,Men,CRA,Novice,Novice 8+,00:06:50,00:07:05,00:13:55,00:13:55
077,Pembroke College Boat Club,M2,8+,Men,Student,Mays 3rd & Lower,Mays 3rd & Lower 8+,00:06:59,00:07:01,00:14:00,00:14:00
052,Homerton College Boat Club,M1,8+,Men,Student,Mays 2nd,Mays 2nd 8+,00:06:57,00:07:18,00:14:15,00:14:15
054,Caius Boat Club,M2,8+,Men,Student,Mays 2nd,Mays 2nd 8+,00:07:04,00:07:11,00:14:15,00:14:15
056,Emmanuel,M2,8+,Men,Student,Mays 3rd & Lower,Mays 3rd & Lower 8+,00:07:10,00:07:09,00:14:19,00:14:19
014,Bedford School,Nov 8+ ,8+,Men,CRA,Novice,Novice 8+,00:07:18,00:07:21,00:14:39,00:14:39
057,Lady Margaret Boat Club,M3,8+,Men,Student,Mays 3rd & Lower,Mays 3rd & Lower 8+,00:07:13,00:07:29,00:14:42,00:14:42
058,Robinson College Boat Club,M2,8+,Men,Student,Mays 3rd & Lower,Mays 3rd & Lower 8+,00:07:21,00:07:22,00:14:43,00:14:43
